代码,    名称,现价,所属行业,总市值,流通市值,
SZ300232,洲明科技,8.96,光学光电子,8804338100,6264904000,
SZ300233,金城医药,19.92,化学制药,7831592600,7318208900,
SZ300234,开尔新材,6.75,建筑材料,3452112600,2135796900,
SZ300235,方直科技,14.89,计算机应用,2499004900,1571796500,
SZ300236,上海新阳,50.39,化学制品,14645799000,14390482000,
SZ300237,美晨生态,2.19,建筑装饰,3182228800,3151732500,
SZ300238,冠昊生物,16.58,医疗器械服务,4396281500,4267694400,
SZ300239,东宝生物,4.51,生物制品,2357584900,2277522200,
SZ300240,飞力达,5.14,物流,1878977100,1858625000,
SZ300241,瑞丰光电,5.38,光学光电子,2876927900,2284607000,
SZ300242,佳云科技,4.82,传媒,3058556200,2839883100,
SZ300243,瑞丰高材,6.99,化学制品,1623936700,1305850690,
SZ300244,迪安诊断,25.12,医疗器械服务,15585912000,11409487600,
SZ300245,天玑科技,8.77,计算机应用,2749022200,2700811900,
SZ300246,宝莱特,21.36,医疗器械服务,3120439700,2301622600,
SZ300247,融捷健康,2.49,白色家电,2002060400,1639947800,
SZ300248,新开普,12.04,计算机应用,5792353600,3833316600,
SZ300249,依米康,6.66,计算机应用,2913551500,2034381900,
SZ300250,初灵信息,13.23,计算机应用,2910466400,1998586000,
SZ300251,光线传媒,10.63,传媒,31184258000,29592194000,
SZ300252,金信诺,9.20,通信设备,5315795300,3784253700,
SZ300253,卫宁健康,25.43,计算机应用,41738863000,33767758000,
SZ300254,仟源医药,6.72,化学制药,1399829800,1083555630,
SZ300255,常山药业,5.43,生物制品,5076870100,3701604100,
SZ300256,星星科技,6.33,电子制造,6063737400,5025997900,
SZ300257,开山股份,10.62,通用设备,9111960000,8684299300,
SZ300258,精锻科技,9.93,汽车零部件,4021650000,3743406800,
SZ300259,新天科技,5.34,仪器仪表,6278013500,3719806600,
SZ300260,新莱应材,13.98,通用设备,2823121200,1770993700,
SZ300261,雅本化学,4.21,化学制品,4055532900,3925223400,
SZ300262,巴安水务,4.09,环保工程,2739347000,1875543900,
SZ300263,隆华科技,7.90,环保工程,7227467500,5714633700,
SZ300264,佳创视讯,4.83,计算机应用,1995273000,1557347700,
SZ300265,通光线缆,11.60,电气设备,3915000000,3906465300,
SZ300266,兴源环境,3.36,环保工程,5256488400,5066351000,
SZ300267,尔康制药,4.09,化学制药,8436053900,5778492400,
SZ300268,佳沃股份,13.40,农产品加工,1795600000,1793155200,
SZ300269,联建光电,3.50,传媒,2070557400,1474184000,
SZ300270,中威电子,6.41,计算机设备,1940986600,1269418230,
SZ300271,华宇软件,26.71,计算机应用,21618826000,17820492000,
SZ300272,开能健康,3.95,白色家电,2302039900,1487287600,
SZ300273,和佳医疗,5.97,医疗器械服务,4743647200,3467345800,
SZ300274,阳光电源,10.90,电气设备,15879260000,11713430100,
SZ300275,梅安森,10.80,专用设备,1815631200,1270192480,
SZ300276,三丰智能,8.23,专用设备,6544242200,2987697900,
SZ300277,海联讯,7.62,计算机应用,2552700000,2548056600,
SZ300278,华昌达,3.78,通用设备,2257353300,1095111380,
SZ300279,和晶科技,5.23,电子制造,2347966600,2285616500,
SZ300280,紫天科技,31.70,传媒,5137484100,4057600000,
SZ300281,金明精机,7.24,专用设备,3033006700,2323329900,
SZ300282,三盛教育,5.75,传媒,2168316100,2148665200,
SZ300283,温州宏丰,4.05,电气设备,1678163500,958753920,
SZ300284,苏交科,8.89,建筑装饰,8635799200,5897341400,
SZ300285,国瓷材料,23.12,新材料,22272445000,16526202000,
SZ300286,安科瑞,10.83,电气设备,2328619200,1847955100,
SZ300287,飞利信,4.43,计算机应用,6358263000,5012710900,
SZ300288,朗玛信息,11.12,计算机应用,3757908400,2250326500,
SZ300289,利德曼,5.30,医疗器械服务,2231575500,2212162000,
SZ300290,荣科科技,5.63,计算机应用,3238911800,2959906700,
SZ300291,华录百纳,4.80,传媒,3923813600,3340646100,
SZ300292,吴通控股,5.20,通信服务,6629222500,5354007700,
SZ300293,蓝英装备,8.44,专用设备,2278800000,2278800000,
SZ300294,博雅生物,31.17,生物制品,13506736000,13506736000,
SZ300295,三六五网,11.61,通信服务,2236385500,1942378400,
SZ300296,利亚德,5.59,光学光电子,14214680000,10261212400,
SZ300297,蓝盾股份,3.89,计算机应用,4861745500,3879437900,
SZ300298,三诺生物,17.47,医疗器械服务,9876048400,7682628000,
SZ300299,富春股份,4.78,传媒,3397628400,2965082800,
SZ300300,汉鼎宇佑,6.25,计算机应用,4241062400,4195867300,
SZ300301,长方集团,2.57,光学光电子,2030579500,1548054800,
SZ300302,同有科技,11.73,计算机设备,5350952700,2948696100,
SZ300303,聚飞光电,5.32,光学光电子,6799083500,6079032800,
SZ300304,云意电气,3.75,汽车零部件,3247635100,3163649000,
SZ300305,裕兴股份,10.80,化工合成材料,3118532400,2512029400,
SZ300306,远方信息,9.05,仪器仪表,2483087500,1305426290,
SZ300307,慈星股份,4.15,专用设备,3328300000,3291876600,
SZ300308,中际旭创,64.86,通信设备,46255891000,25860768000,
